Sco1,Sco2,Sco3,Sco4,Sco5
F000598,0.796088944961363,0.795406439990993,0.003974819163763,138.301294
G000598,0.722615178742114,0.770387,0.00633531645089,245.79751
G000598,0.776811594202899,0.778632150027767,0.003010375940138,138.615245
H000598,0.668705701360781,0.759257,0.007550056769255,256.46152
H000598,0.784511945066997,0.782199400941378,0.00370813257165,138.193017
A688080,0.786328050410541,0.791324,0.015421317225533,423.172396
A688080,0.837991473235434,0.837595907928389,0.006076089669739,241.340759
B688080,0.738945071262247,0.792771,0.01516337306749,409.349165
B688080,0.805305054176103,0.80552015833853,0.00596573510159,240.649254
C688080,0.741004631278945,0.804899,0.01358403933331,411.360387
C688080,0.774791704088541,0.774577817086316,0.003704791885144,241.329677
D688080,0.75875718708536,0.80045,0.014871905935107,408.923163
D688080,0.808129109384339,0.807039447469784,0.005735727143276,240.130323
E688080,0.745719088748478,0.778469,0.015659214633851,414.985956
E688080,0.808114216415853,0.807993935635036,0.004773925328781,240.646589
F688080,0.738613720466838,0.789904,0.014002683565689,402.091082
F688080,0.802831257078143,0.804044472176527,0.005060153379328,241.285494
G688080,0.728704314949289,0.799183,0.011843064204775,415.705796
G688080,0.817526639253659,0.816100747366563,0.004312861448322,240.971403
H688080,0.712689407893121,0.787385,0.011691546909964,403.767159
H688080,0.785983159231432,0.786968024794013,0.003802563794549,241.531414
A779882,0.885522128268773,0.895995,0.013276681960004,421.437977
A779882,0.89675747821308,0.897741051780662,0.00555758195915,239.465295
B779882,0.805505198120537,0.906285,0.018331338274972,427.343549
B779882,0.837235738545782,0.837665399872396,0.008555622026352,238.957391
C779882,0.774567690183444,0.888117,0.015253921629677,436.825602
C779882,0.79919498458019,0.799322289156627,0.006324068886725,239.719792
D779882,0.721162554917202,0.855671,0.016707977941861,436.440404
D779882,0.72723328560892,0.726954711689964,0.008139249733999,239.880335
E779882,0.712539573296628,0.84954,0.009561177277679,427.892295
E779882,0.730062900563577,0.73017147786255,0.0030692894947,238.618611
F779882,0.73726292301971,0.866866,0.009139121169527,428.553262
F779882,0.784571684855733,0.784911981573713,0.00370435864973,237.943952
G779882,0.779412889897728,0.882542,0.011923794289434,434.333023
G779882,0.830887082626747,0.83059566259426,0.004666551765923,238.467272
H779882,0.775562566270896,0.889579,0.011733265250006,444.382645
H779882,0.785436989144091,0.784863705626728,0.004573104548824,238.778994
A780004,0.880955930903747,0.885784,0.017928696972162,442.742569
A780004,0.929504049876077,0.928582383313736,0.008136572747519,238.056457
B780004,0.862329544238221,0.84961,0.013320052036341,434.131617
B780004,0.895005572402353,0.8944369626023,0.002684376268116,236.98681
D780004,0.855342636950635,0.84518,0.011465445486716,435.875842
D780004,0.893999547446156,0.894509384260784,0.00249066971019,237.519919
E780004,0.853915001622106,0.836279,0.012672753235972,433.77851
E780004,0.884697459902251,0.886518165792907,0.002691008721687,237.702325
F780004,0.869617901284433,0.84224,0.01462356361098,442.887098
F780004,0.889009382809185,0.891112002453814,0.005201547316781,238.443629
G780004,0.862778698044592,0.856889,0.014969814937758,445.551807
G780004,0.884829677692362,0.884464583382246,0.002547863088413,238.090106
H780004,0.864463900429736,0.838673,0.014381971138013,434.951381
H780004,0.897572031141796,0.897746821633869,0.004225988631126,237.73813
B780334,0.55268768428215,0.670225,0.011610054533376,419.662467
B780334,0.680646662998857,0.680082864752886,0.005869475939306,219.541609
C780334,0.608535077698315,0.730933,0.010321511560221,417.115896
C780334,0.69840132194549,0.69843544727099,0.00500567367835,219.792476
D780334,0.630308309740846,0.751668,0.010050557365074,407.181395
D780334,0.687777713099327,0.687126793330748,0.003118713137951,218.857956
E780334,0.680220713073005,0.775094,0.009597519319828,405.863568
E780334,0.769301285224502,0.769236408959273,0.004572386056392,218.007779
F780334,0.75172502968109,0.80863,0.010035927534196,406.072971
F780334,0.838993062918421,0.838557281729808,0.0045545046772,218.801932
